customer_id,name,gender,age,grade,region,signup_date,income_level,credit_score,churn
1,한하은,M,67,Silver,부산,2020-10-12,Low,512,1
2,조서연,M,25,Gold,강원,2023-05-17,High,684,0
3,한수빈,F,34,Silver,대구,2024-07-15,Low,581,0
4,정지우,M,68,Silver,경기,2022-02-17,High,636,0
5,임시우,M,66,Silver,경기,2022-02-14,High,644,0
6,강진우,M,65,Gold,전라,2021-04-11,Medium,734,0
7,권수아,M,44,Silver,전라,2024-09-04,Medium,646,0
8,황지호,M,54,Bronze,인천,2022-08-04,Medium,614,0
9,한수빈,M,63,Silver,제주,2024-05-08,High,721,0
10,이우진,F,33,Bronze,대전,2024-12-16,Low,444,1
11,정지우,M,67,Silver,대구,2024-03-09,Medium,642,0
12,박선우,F,25,Bronze,경기,2020-11-09,Low,485,0
13,조은서,M,44,Silver,세종,2022-12-19,Medium,574,0
14,이수빈,F,69,Bronze,경기,2021-08-24,Medium,508,0
15,오시우,M,52,Bronze,전라,2021-09-03,Low,508,0
16,박수빈,M,58,Silver,서울,2020-08-17,Low,578,0
17,권지아,M,23,Gold,충청,2020-06-10,High,714,0
18,신지우,M,62,Silver,강원,2020-12-04,Medium,641,0
19,조우진,M,65,Silver,전라,2023-08-23,Medium,645,0
20,이도윤,M,57,Silver,충청,2021-03-27,High,664,0
21,김수아,M,22,Bronze,경기,2022-11-18,Medium,526,1
22,황진우,F,35,Bronze,제주,2022-04-13,Medium,570,1
23,조지유,F,46,Silver,경상,2020-04-20,Medium,683,0
24,강하은,M,32,Gold,세종,2020-10-14,Medium,708,0
25,최지호,F,55,Gold,전라,2023-01-12,Medium,824,0
26,박채원,F,50,Gold,대전,2020-04-30,High,767,1
27,조시우,F,38,Silver,경상,2024-05-23,Medium,660,0
28,김진우,M,67,Silver,서울,2023-04-11,Medium,587,0
29,장서윤,M,52,Gold,인천,2020-05-20,Medium,721,0
30,황진우,M,57,Silver,충청,2020-06-16,Medium,613,0
31,장도윤,F,33,Bronze,광주,2021-05-03,Medium,609,0
32,황지호,M,49,Bronze,충청,2020-07-23,High,687,0
33,정지우,F,24,Bronze,광주,2021-08-06,Medium,571,0
34,신선우,M,62,Bronze,대구,2023-09-20,Medium,516,0
35,정하은,M,67,Silver,대구,2021-07-31,Medium,604,0
36,정선우,F,36,Bronze,서울,2020-07-08,Low,508,0
37,김민준,F,69,Gold,대구,2020-11-26,Medium,639,1
38,이지우,M,43,Silver,인천,2022-05-30,High,701,0
39,황서연,F,33,Bronze,전라,2020-07-29,Medium,494,0
40,오지우,M,30,Bronze,제주,2020-12-28,Low,480,1
41,오도윤,F,62,Bronze,제주,2021-05-23,Medium,574,0
42,권다은,M,32,Bronze,세종,2021-12-17,Medium,551,0
43,최수아,M,62,Gold,광주,2021-07-24,Low,681,0
44,조수빈,F,21,Gold,대구,2020-12-31,Medium,673,0
45,김하은,F,42,Bronze,광주,2022-06-12,Low,495,0
46,정서연,F,20,Silver,제주,2023-01-07,Medium,607,0
47,오우진,F,47,Gold,전라,2021-11-07,Medium,724,0
48,장지아,F,40,Silver,대구,2023-02-09,High,697,0
49,조서윤,F,45,Silver,서울,2021-09-14,Medium,617,0
50,윤주원,F,63,Gold,세종,2024-06-13,Low,672,0
51,박지호,F,52,Bronze,충청,2021-11-17,High,672,0
52,신우진,M,21,VIP,세종,2023-06-05,Medium,741,0
53,조진우,M,65,Bronze,세종,2022-03-29,Medium,537,0
54,신하은,F,34,Gold,경상,2022-11-26,Medium,706,0
55,황하은,F,28,Bronze,전라,2022-12-23,Low,429,0
56,임선우,F,55,Silver,인천,2024-03-03,Low,549,0
57,신수아,F,69,Bronze,세종,2023-07-07,Medium,481,1
58,강도윤,M,28,Gold,대전,2023-11-22,High,783,0
59,조채원,F,54,Silver,서울,2021-02-27,Low,552,0
60,김진우,F,50,VIP,광주,2021-09-03,Medium,848,0
61,권채원,M,51,Gold,대전,2022-09-21,High,753,0
62,박주원,M,59,Silver,대전,2023-04-27,Medium,691,1
63,한채원,M,49,Gold,대구,2022-02-15,High,750,0
64,정채원,F,25,Silver,경상,2023-01-09,High,700,0
65,최지호,M,68,VIP,부산,2021-02-12,Medium,728,0
66,이진우,M,49,Bronze,제주,2022-01-25,Medium,574,0
67,오하은,M,39,Gold,서울,2021-09-30,Medium,767,0
68,최지호,M,26,Bronze,대구,2024-10-07,Low,488,0
69,신진우,M,42,Silver,전라,2022-01-28,High,711,0
70,윤하은,F,43,Bronze,세종,2023-12-19,Medium,589,1
71,장시우,F,49,Silver,경상,2023-04-28,Medium,709,0
72,황주원,M,68,Silver,충청,2023-09-30,Medium,549,1
73,권도윤,M,51,Gold,제주,2021-06-13,High,830,0
74,김선우,M,25,Gold,대전,2022-09-27,Medium,667,0
75,윤다은,F,21,Gold,부산,2022-04-08,Medium,661,0
76,장지유,F,67,Silver,광주,2023-12-10,Medium,659,0
77,최하은,M,40,Gold,강원,2024-04-09,Medium,758,0
78,임선우,F,26,Bronze,대구,2021-04-10,Medium,631,0
79,오수빈,M,37,VIP,서울,2023-02-07,High,908,0
80,이민준,F,50,Silver,광주,2021-01-12,Low,585,0
81,권다은,M,24,Silver,경기,2023-03-27,Medium,631,0
82,정지호,M,27,Silver,대전,2023-05-26,Medium,647,0
83,신선우,F,48,Bronze,대구,2024-10-27,Low,488,1
84,오하은,M,60,Gold,전라,2020-06-15,High,782,0
85,이서윤,M,46,Silver,충청,2022-08-20,Medium,672,0
86,윤지호,M,36,Bronze,전라,2023-04-22,Low,597,0
87,조하은,M,61,Gold,대구,2024-08-19,High,826,0
88,권진우,F,48,Gold,경상,2021-09-14,Medium,760,0
89,장수빈,F,48,Gold,서울,2024-12-26,Medium,721,0
90,한진우,M,68,Bronze,대구,2023-03-26,High,617,0
91,윤선우,F,37,Gold,충청,2022-06-11,Medium,717,0
92,강도윤,M,30,Silver,경상,2022-10-11,Medium,640,0
93,권수빈,M,49,Gold,대구,2021-10-24,High,796,0
94,김수빈,F,46,Gold,강원,2022-01-10,Medium,655,0
95,윤서연,M,37,Silver,대구,2022-06-16,Low,595,0
96,신수아,M,39,Silver,강원,2022-04-15,High,715,0
97,황하은,F,27,Bronze,인천,2022-10-17,Low,493,0
98,윤다은,M,49,Silver,대전,2021-01-25,Low,665,0
99,황지우,M,37,Bronze,대전,2021-11-27,Low,460,1
100,정진우,F,29,Silver,세종,2021-12-07,Medium,636,0
101,조주원,F,32,Bronze,부산,2023-03-17,Medium,595,0
102,윤예준,F,62,Bronze,전라,2020-11-07,Low,477,1
103,장진우,F,26,Bronze,세종,2020-07-23,Low,448,0
104,한지우,M,50,Bronze,대구,2021-11-24,Low,552,0
105,이도윤,F,40,Bronze,제주,2022-09-26,Low,549,0
106,황지아,M,67,Gold,경기,2024-04-06,Medium,683,0
107,윤서윤,F,21,VIP,제주,2020-04-24,High,784,0
108,임서윤,M,31,Gold,대전,2023-06-23,Medium,725,0
109,임지우,M,49,Bronze,세종,2021-06-06,Low,571,0
110,장서윤,M,48,Bronze,충청,2021-09-04,Low,508,0
111,정주원,F,32,Bronze,세종,2020-08-06,Medium,522,0
112,정민준,F,37,VIP,전라,2024-05-12,Medium,782,0
113,임다은,F,69,Bronze,충청,2024-06-30,Medium,503,0
114,오지우,M,60,Bronze,대구,2024-06-03,Medium,527,0
115,오지우,M,38,Silver,대전,2020-12-25,Medium,683,0
116,장시우,M,36,Bronze,세종,2024-07-09,Medium,515,0
117,신하은,F,24,Gold,부산,2024-10-27,Medium,661,0
118,장지유,M,45,VIP,강원,2020-09-10,High,819,0
119,한시우,F,60,Bronze,경기,2023-10-14,Medium,652,0
120,황은서,M,61,Gold,세종,2023-12-06,High,773,0
121,박서연,M,39,Bronze,경기,2020-07-18,Medium,556,0
122,오수빈,F,57,Bronze,인천,2024-12-18,Medium,560,1
123,윤은서,F,37,VIP,광주,2021-03-20,High,929,0
124,한지유,F,23,Silver,부산,2020-09-07,Low,525,0
125,이우진,M,23,Bronze,부산,2020-09-14,Low,500,0
126,임우진,M,41,Bronze,제주,2023-05-05,High,717,0
127,박지우,F,31,Gold,서울,2020-09-26,High,767,0
128,박시우,M,28,Bronze,강원,2020-08-20,Low,481,0
129,신지유,M,48,Silver,충청,2020-03-29,Low,654,0
130,한민준,M,50,Bronze,대전,2023-11-06,Medium,563,0
131,윤지호,M,40,Bronze,경기,2020-09-15,Medium,561,0
132,임선우,F,49,Silver,대전,2020-07-22,Low,567,0
133,한수빈,M,47,Silver,부산,2022-04-27,Medium,625,0
134,조도윤,F,43,Bronze,전라,2022-08-29,High,656,0
135,이채원,M,67,Bronze,제주,2020-09-23,Low,436,1
136,이채원,F,62,Bronze,대전,2024-11-12,Low,483,1
137,정은서,F,42,Gold,강원,2021-03-11,High,707,0
138,장지유,M,68,Silver,부산,2024-07-11,Medium,618,0
139,신은서,M,58,Bronze,경상,2021-07-01,High,610,0
140,강민준,M,29,Silver,대전,2020-05-22,High,757,0
141,김지호,M,44,Silver,광주,2020-11-18,Medium,652,0
142,이서연,M,30,Bronze,서울,2023-10-12,High,551,0
143,조다은,F,46,Silver,제주,2022-11-15,High,685,0
144,윤선우,F,22,Gold,충청,2020-04-22,High,743,0
145,최지우,F,38,Silver,서울,2022-10-15,Low,622,0
146,장수빈,F,24,Silver,경상,2020-03-27,Medium,644,0
147,이도윤,F,56,Silver,전라,2022-05-05,Medium,553,0
148,임주원,F,25,Silver,경기,2021-05-13,Medium,698,0
149,이예준,F,67,Silver,광주,2024-05-14,High,640,0
150,황지유,F,66,Bronze,전라,2024-07-27,Medium,538,1
