user_id,email,name,age,gender,city,signup_date,channel,signup_device,vip_grade,marketing_consent,last_login_date,total_spent,order_count,churn,engagement_score,support_tickets,support_level,onboarding_type,week1_activity_score,pre_promo_spent,post_promo_spent
1,u000001@hanmail.net,조다은,30,M,서울,27FEB2024,social,tablet,vip,1,07JAN2026,5281030,4,1,76.7,0,Low,B,73.3,62718,65947
2,u000002@naver.com,장수아,19,F,세종,16MAY2026,organic,mobile,vip,0,16MAY2026,3057605,5,0,63.2,0,Low,C,45.6,51925,50702
3,u000003@daum.net,장다은,33,F,경북,11APR2026,organic,mobile,vip,0,11APR2026,3039440,4,0,73.0,2,High,B,66.3,24910,31072
4,u000004@naver.com,임소율,26,F,경북,09JUL2023,social,mobile,silver,1,29SEP2024,750535,3,1,75.4,0,Low,C,60.9,29352,34186
5,u000005@hanmail.net,임하은,42,F,대전,15JUN2024,social,mobile,vip,0,29JAN2025,7904575,4,1,72.5,0,Low,C,61.8,27308,26971
6,u000006@outlook.com,이예준,14,M,경기,04AUG2025,social,mobile,vip,1,04AUG2025,5509790,4,1,68.0,1,Low,A,52.7,65278,81735
7,u000007@hanmail.net,최준우,42,M,인천,09JAN2025,social,mobile,vip,1,25MAY2025,4877320,3,1,89.3,0,Low,C,76.2,29774,28610
8,u000008@naver.com,윤현우,29,U,부산,01JAN2024,organic,mobile,vip,1,28DEC2024,5269540,7,1,80.1,2,High,C,65.7,53184,62136
9,u000009@gmail.com,신다은,43,F,경남,22JUN2023,organic,pc,platinum,0,19APR2025,2722100,3,1,58.1,4,High,A,40.0,51002,50950
10,u000010@naver.com,안하은,43,F,경기,07NOV2024,social,mobile,platinum,1,07NOV2024,1695150,1,1,67.3,3,High,A,39.8,45073,44559
11,u000011@outlook.com,서다은,37,M,경남,17NOV2025,organic,mobile,bronze,1,,214850,3,1,46.4,2,High,B,46.3,50849,55021
12,u000012@naver.com,송예은,20,M,서울,23APR2026,email,pc,gold,0,23APR2026,1143080,1,0,52.4,2,High,B,47.0,35875,38092
13,u000013@hanmail.net,송하윤,39,M,인천,27JAN2023,email,mobile,silver,1,04FEB2026,444295,2,1,57.6,0,Low,C,77.1,36663,35354
14,u000014@kakao.com,서지유,32,M,경기,21DEC2023,social,pc,vip,1,07MAR2025,4348685,3,1,44.3,2,High,C,62.8,49389,59637
15,u000015@hanmail.net,윤하은,28,F,대구,09APR2023,other,mobile,platinum,0,22MAY2026,2663450,2,0,42.2,0,Low,B,54.2,27280,31777
16,u000016@hanmail.net,오지원,56,M,울산,05JUN2024,organic,pc,vip,1,07DEC2024,12699355,4,1,75.6,1,Low,B,58.0,41780,51767
17,u000017@hanmail.net,김채원,43,F,경남,16FEB2025,social,mobile,platinum,0,16FEB2025,1656680,5,1,47.6,1,Low,B,61.5,55456,60781
18,u000018@outlook.com,전윤서,23,F,부산,19JUN2026,organic,mobile,silver,1,19JUN2026,449860,4,0,58.5,0,Low,B,66.5,58205,62503
19,u000019@hanmail.net,송지유,34,F,서울,06DEC2023,paid_search,mobile,gold,0,,1332930,3,1,47.7,1,Low,C,74.5,47462,47669
20,u000020@outlook.com,박지유,48,F,충북,05APR2023,referral,pc,gold,1,17AUG2024,982940,2,1,39.8,1,Low,A,42.3,51324,54791
21,u000021@gmail.com,오서윤,33,M,부산,26MAY2025,social,pc,platinum,1,04JUL2026,1848360,2,0,79.4,1,Low,B,74.3,49421,62774
22,u000022@outlook.com,류지원,50,F,대구,08JAN2025,paid_search,mobile,silver,1,08JAN2025,356160,1,1,51.0,2,High,B,62.3,45124,55002
23,u000023@daum.net,서하준,51,F,서울,05DEC2024,organic,pc,bronze,1,05DEC2024,184700,2,1,52.5,2,High,C,58.0,55615,49257
24,u000024@naver.com,임지우,39,M,경기,20MAR2023,social,mobile,vip,0,11JAN2025,3475330,7,1,48.2,1,Low,B,39.8,67600,69336
25,u000025@naver.com,권민준,47,M,대구,09JAN2023,social,mobile,vip,1,24SEP2025,3266510,4,1,58.7,1,Low,B,60.3,26433,28307
26,u000026@kakao.com,전하준,32,F,경기,22FEB2024,paid_search,mobile,silver,1,20AUG2025,360970,6,1,55.2,3,High,C,56.6,43519,47366
27,u000027@gmail.com,이윤서,21,F,경기,15FEB2024,organic,mobile,silver,0,10DEC2025,459095,2,1,40.2,1,Low,C,62.4,50280,53427
28,u000028@outlook.com,류하준,20,M,인천,18JUN2025,social,mobile,platinum,1,18JUN2025,2550495,5,1,68.1,0,Low,C,45.7,50028,51429
29,u000029@outlook.com,박소율,53,F,충남,01FEB2024,paid_search,mobile,silver,0,05APR2026,745285,3,1,48.8,1,Low,A,45.6,58648,66666
30,u000030@outlook.com,신지민,33,M,경기,04MAY2023,organic,pc,bronze,0,11FEB2026,0,0,1,39.2,1,Low,B,62.9,59548,61981
31,u000031@kakao.com,조도윤,37,F,경북,08DEC2024,organic,mobile,vip,1,02FEB2025,6052960,4,1,64.6,1,Low,A,30.5,63084,71848
32,u000032@naver.com,윤수아,35,M,경기,23AUG2024,paid_search,mobile,vip,1,28JUN2025,3117680,3,1,88.3,0,Low,A,39.4,51243,60108
33,u000033@outlook.com,한윤서,35,F,전남,19JAN2026,organic,tablet,vip,1,19JAN2026,7232705,3,1,74.1,0,Low,B,38.2,43053,45823
34,u000034@kakao.com,전서윤,27,M,충북,09AUG2025,paid_search,mobile,platinum,0,09AUG2025,2887470,4,1,51.2,0,Low,C,61.7,30723,31886
35,u000035@hanmail.net,강지유,22,F,경남,17OCT2023,paid_search,mobile,silver,0,29JUL2025,687300,3,1,66.3,1,Low,C,68.0,35587,38202
36,u000036@hanmail.net,한현우,16,F,경기,08MAY2024,referral,mobile,platinum,1,09FEB2026,1712985,2,1,45.3,1,Low,C,53.4,48539,47345
37,u000037@naver.com,안하윤,35,F,인천,07SEP2023,email,mobile,gold,0,,1102950,2,1,60.7,1,Low,B,55.4,46291,46632
38,u000038@kakao.com,임채원,35,M,서울,08FEB2023,referral,mobile,bronze,0,15MAY2026,12700,1,0,21.3,0,Low,C,79.9,34755,31055
